loan_id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,revol_util,open_acc,total_acc,issue_d,fico_range_low,fico_range_high,application_type,loan_status,int_rate_dec,term_months,income_to_loan,dti_clipped,risk_band,default_flag
16,18004.19,36 months,11.54,594.02,C,C5,3,MORTGAGE,58594.98,house,GA,2.99,1,17.81,6,12,2023-09-14,696,708,Individual,Fully Paid,0.11539999999999999,36,3.2545190869458724,2.99,Medium,0
17,17414.47,36 months,6.62,534.72,A,A1,3,RENT,73179.37,moving,PA,18.55,0,31.6,3,9,2022-10-22,769,789,Individual,Fully Paid,0.0662,36,4.2022163178092695,18.55,Very High,0
18,28990.8,60 months,13.62,668.86,E,E3,2,MORTGAGE,81662.55,vacation,NC,22.61,0,41.87,4,7,2021-05-28,649,663,Joint,Charged Off,0.1362,60,2.816843619355106,22.61,Low,1
19,16666.88,36 months,11.53,549.84,D,D3,10,RENT,132391.58,small_business,NJ,26.15,0,20.32,6,11,2023-07-09,660,679,Joint,Fully Paid,0.1153,36,7.943393124568004,26.15,Low,0
20,29070.27,60 months,11.68,641.99,D,D4,5,RENT,99745.87,car,AZ,19.45,0,91.76,6,7,2023-03-17,674,679,Individual,Fully Paid,0.1168,60,3.43119860943844,19.45,Low,0
21,19919.26,60 months,9.42,417.52,C,C3,3,OWN,40441.52,major_purchase,GA,22.18,0,40.48,12,13,2022-02-10,695,702,Individual,Fully Paid,0.0942,60,2.030272208907359,22.18,Medium,0
22,25251.29,36 months,15.3,879.09,F,F1,4,MORTGAGE,112667.55,other,PA,21.58,1,42.02,7,14,2023-04-14,614,621,Individual,Fully Paid,0.153,36,4.461853236012892,21.58,Very Low,0
23,33236.31,36 months,14.51,1144.12,E,E1,8,RENT,121595.03,small_business,WI,20.52,0,42.93,11,18,2022-07-22,637,650,Individual,Fully Paid,0.1451,36,3.6584996950624182,20.52,Very Low,0
24,18685.17,60 months,9.94,396.42,D,D2,6,RENT,29341.67,debt_consolidation,TN,18.77,0,72.96,13,15,2022-05-13,670,681,Joint,Fully Paid,0.09939999999999999,60,1.570318600258922,18.77,Low,0
25,14063.61,36 months,8.52,444.08,B,B4,10,RENT,65324.63,moving,TN,20.06,1,16.64,1,7,2022-01-20,726,741,Individual,Fully Paid,0.0852,36,4.644940381594768,20.06,High,0
26,14327.96,36 months,8.47,452.13,C,C4,0,OWN,42365.46,medical,GA,24.59,0,42.31,6,7,2021-05-20,705,722,Individual,Fully Paid,0.08470000000000001,36,2.956838237962697,24.59,Medium,0
27,23631.95,36 months,6.51,724.42,A,A4,0,RENT,88369.86,home_improvement,GA,11.89,0,81.43,5,8,2022-12-24,751,771,Individual,Fully Paid,0.06509999999999999,36,3.739423111507937,11.89,High,0
28,28557.05,36 months,9.07,908.98,B,B2,7,MORTGAGE,74059.41,wedding,AZ,13.28,0,44.82,6,14,2022-05-19,721,729,Individual,Fully Paid,0.0907,36,2.5933844707348976,13.28,High,0
29,19555.73,36 months,10.96,639.84,D,D5,4,MORTGAGE,74427.02,small_business,TX,15.9,1,67.13,6,13,2023-07-21,665,680,Individual,Fully Paid,0.1096,36,3.8058932087935355,15.9,Low,0
30,33359.72,36 months,11.27,1096.41,D,D1,4,RENT,42124.36,medical,WI,15.52,0,40.74,6,6,2021-11-09,669,688,Individual,Fully Paid,0.1127,36,1.2627312219646927,15.52,Low,0
31,27788.81,36 months,16.97,990.4,F,F5,0,MORTGAGE,23473.9,car,IL,11.68,2,74.11,14,17,2021-03-21,620,626,Individual,Fully Paid,0.1697,36,0.8447249090551197,11.68,Very Low,0
32,23345.59,60 months,7.69,469.87,B,B5,5,MORTGAGE,37883.2,home_improvement,IL,18.97,0,81.63,10,18,2023-07-09,727,743,Individual,Fully Paid,0.07690000000000001,60,1.6227133261571027,18.97,High,0
33,30610.92,36 months,9.22,976.53,C,C5,3,OWN,89555.38,vacation,IN,20.05,0,28.9,10,17,2021-11-05,706,721,Individual,Fully Paid,0.0922,36,2.9256023667370994,20.05,Medium,0
34,15555.0,60 months,9.28,324.98,C,C5,10,MORTGAGE,41049.78,house,PA,29.6,0,37.43,15,20,2023-10-04,699,707,Individual,Fully Paid,0.0928,60,2.6390086788813885,29.6,Medium,0
35,27143.6,36 months,10.42,881.16,B,B2,10,RENT,31738.29,vacation,MI,12.02,1,1.38,0,9,2022-08-31,721,737,Individual,Charged Off,0.1042,36,1.1692734198853505,12.02,High,1
36,13847.92,36 months,5.5,418.17,A,A5,3,RENT,73179.37,debt_consolidation,MD,15.95,1,25.54,9,10,2023-07-27,763,770,Individual,Fully Paid,0.055,36,5.284502654550286,15.95,Very High,0
37,16147.07,36 months,10.51,524.87,C,C3,7,RENT,96113.28,small_business,FL,34.86,1,32.09,4,9,2021-05-16,700,706,Individual,Charged Off,0.1051,36,5.952366590347351,34.86,Medium,1
38,15978.57,36 months,8.65,505.52,B,B5,3,RENT,42895.6,medical,TX,10.92,0,18.19,6,15,2023-09-08,721,738,Individual,Fully Paid,0.08650000000000001,36,2.684570646810071,10.92,High,0
39,29445.37,36 months,13.56,1000.15,D,D3,6,OWN,72547.75,small_business,WA,22.4,0,49.78,8,12,2023-09-02,674,687,Joint,Charged Off,0.1356,36,2.4638084017962756,22.4,Low,1
40,28418.75,60 months,11.93,631.18,C,C3,6,RENT,62766.64,car,CA,8.28,0,20.64,4,7,2022-07-18,704,717,Individual,Fully Paid,0.1193,60,2.208634792170662,8.28,Medium,0
41,33127.69,36 months,12.12,1102.2,E,E4,5,RENT,56511.27,medical,WA,20.04,0,50.05,3,5,2021-08-26,642,656,Joint,Fully Paid,0.12119999999999999,36,1.7058620748986721,20.04,Low,0
42,25000.21,60 months,13.45,574.63,D,D2,8,MORTGAGE,69836.44,medical,IL,17.14,3,10.35,9,15,2023-11-18,661,675,Joint,Fully Paid,0.13449999999999998,60,2.793434135153265,17.14,Low,0
43,20776.55,36 months,8.14,652.41,B,B2,6,RENT,32366.87,vacation,OH,22.97,0,45.82,11,17,2021-04-21,726,745,Individual,Fully Paid,0.0814,36,1.557855851909966,22.97,High,0
44,30035.71,36 months,12.97,1011.63,E,E2,6,MORTGAGE,60866.58,house,GA,16.55,0,67.15,3,10,2021-11-27,635,647,Individual,Fully Paid,0.1297,36,2.0264738206621384,16.55,Very Low,0
45,25525.14,36 months,14.98,884.57,E,E1,9,RENT,43547.41,house,TX,23.41,0,33.21,1,4,2021-11-02,641,646,Individual,Fully Paid,0.14980000000000002,36,1.7060595945800887,23.41,Low,0
46,25219.38,60 months,9.1,524.71,C,C3,1,OWN,52075.91,home_improvement,MD,21.74,0,0.0,1,6,2021-01-14,708,713,Individual,Fully Paid,0.091,60,2.06491634607988,21.74,Medium,0
47,22353.92,36 months,9.29,713.92,B,B3,9,RENT,52865.8,debt_consolidation,VA,34.11,0,55.74,9,14,2023-09-12,730,749,Individual,Fully Paid,0.0929,36,2.364945387654604,34.11,High,0
48,24808.24,36 months,11.62,819.48,D,D2,3,MORTGAGE,49805.45,wedding,GA,11.42,1,63.82,7,8,2023-01-08,665,674,Individual,Fully Paid,0.1162,36,2.0076172271793564,11.42,Low,0
49,35994.84,36 months,7.08,1112.68,A,A3,10,MORTGAGE,86345.82,wedding,VA,8.84,0,43.45,10,13,2023-07-01,761,774,Individual,Fully Paid,0.0708,36,2.398838833566145,8.84,Very High,0
50,28534.84,36 months,8.74,903.98,B,B4,9,RENT,98080.64,major_purchase,OH,17.18,0,17.16,16,23,2022-02-18,729,737,Individual,Fully Paid,0.0874,36,3.437224109194234,17.18,High,0
51,24407.17,36 months,4.79,729.23,A,A1,1,RENT,112753.05,credit_card,MI,22.66,0,70.12,2,4,2023-01-16,764,770,Joint,Fully Paid,0.0479,36,4.619669138208158,22.66,Very High,0
52,22859.85,60 months,10.59,492.37,D,D1,5,MORTGAGE,315056.21,credit_card,TX,24.34,0,48.62,12,18,2021-04-15,680,689,Individual,Fully Paid,0.1059,60,13.782076872770382,24.34,Low,0
53,25546.11,36 months,12.17,850.55,D,D2,0,OWN,59532.1,medical,WI,13.58,1,57.64,11,14,2024-01-16,677,682,Individual,Fully Paid,0.1217,36,2.330378284599886,13.58,Low,0
54,32154.85,60 months,11.51,707.4,D,D1,2,MORTGAGE,105719.68,major_purchase,IN,32.38,1,60.99,10,13,2022-07-25,676,695,Individual,Fully Paid,0.1151,60,3.287829985212184,32.38,Low,0
55,26334.92,36 months,12.66,883.05,D,D2,8,MORTGAGE,42934.48,credit_card,OH,17.61,0,43.19,8,12,2021-03-20,676,686,Individual,Fully Paid,0.1266,36,1.6303250588951859,17.61,Low,0
56,21650.08,60 months,9.77,457.51,C,C1,6,MORTGAGE,39469.9,wedding,NJ,5.76,0,40.87,4,11,2022-11-09,695,701,Joint,Fully Paid,0.0977,60,1.8230833327174771,5.76,Medium,0
57,15779.58,60 months,9.13,328.57,C,C2,10,MORTGAGE,48679.29,wedding,NJ,19.52,0,17.77,6,12,2022-01-01,694,708,Individual,Charged Off,0.0913,60,3.0849547326354694,19.52,Medium,1
58,19753.04,36 months,6.35,604.03,A,A1,2,MORTGAGE,47682.59,moving,NY,17.79,0,33.48,1,4,2023-07-30,761,775,Individual,Fully Paid,0.0635,36,2.4139367915014596,17.79,Very High,0
59,25699.82,60 months,3.93,472.44,A,A1,0,RENT,73179.37,debt_consolidation,WA,16.11,1,34.57,5,7,2021-10-24,756,766,Individual,Fully Paid,0.0393,60,2.8474662468453085,16.11,High,0
60,18363.67,60 months,10.67,396.27,D,D1,10,MORTGAGE,139110.49,credit_card,NJ,19.76,0,27.33,7,9,2023-07-28,679,687,Individual,Fully Paid,0.1067,60,7.575309837303764,19.76,Low,0
61,34522.44,36 months,8.96,1097.21,C,C1,3,OWN,85278.08,small_business,AZ,20.28,0,56.28,5,12,2024-02-18,698,718,Individual,Fully Paid,0.08960000000000001,36,2.470221687690673,20.28,Medium,0
62,25458.78,36 months,7.6,793.14,C,C1,6,MORTGAGE,61488.05,car,IL,11.39,0,45.275000000000006,11,16,2023-09-18,702,709,Individual,Fully Paid,0.076,36,2.415200178484594,11.39,Medium,0
63,35727.55,36 months,12.36,1192.87,D,D5,2,MORTGAGE,59457.07,car,TN,10.27,0,33.84,10,15,2022-09-17,666,684,Individual,Fully Paid,0.12359999999999999,36,1.664179883591234,10.27,Low,0
64,24665.93,36 months,11.15,809.23,D,D3,8,MORTGAGE,68884.58,wedding,MA,10.45,0,54.82,12,15,2021-09-24,677,684,Individual,Fully Paid,0.1115,36,2.792701511761365,10.45,Low,0
65,13803.43,36 months,10.24,446.92,C,C5,1,RENT,150969.01,major_purchase,IL,18.06,0,47.79,9,19,2022-01-20,696,713,Individual,Fully Paid,0.1024,36,10.937064917922575,18.06,Medium,0
66,21659.83,36 months,10.75,706.52,C,C5,8,MORTGAGE,102313.86,other,VA,16.22,0,85.61,0,6,2023-06-30,709,724,Individual,Fully Paid,0.1075,36,4.723668652985734,16.22,Medium,0
67,19251.22,36 months,9.27,614.58,B,B4,2,RENT,171574.66,other,MO,27.28,1,74.38,7,11,2021-05-02,727,738,Individual,Fully Paid,0.09269999999999999,36,8.912404512545178,27.28,High,0
68,17438.77,36 months,6.8,536.85,A,A3,6,RENT,64617.1,vacation,CA,27.48,0,20.64,6,12,2023-04-09,766,776,Individual,Fully Paid,0.068,36,3.705370275541222,27.48,Very High,0
69,26906.25,36 months,8.4,848.09,C,C1,1,RENT,58342.23,major_purchase,TX,15.01,1,54.67,0,6,2022-08-05,697,714,Individual,Fully Paid,0.084,36,2.1683523344947737,15.01,Medium,0
70,18085.07,36 months,7.1,559.22,B,B5,2,MORTGAGE,79766.93,other,TN,22.14,0,57.86,7,11,2021-06-12,724,740,Individual,Fully Paid,0.071,36,4.410650884956486,22.14,High,0
71,16632.88,60 months,8.26,339.34,C,C5,8,MORTGAGE,41259.85,home_improvement,NY,23.12,0,73.96,6,10,2023-01-19,695,706,Individual,Fully Paid,0.08259999999999999,60,2.480619712280735,23.12,Medium,0
72,22483.65,36 months,13.08,758.46,E,E2,5,OWN,83695.86,house,GA,11.35,0,20.66,14,20,2022-02-15,640,648,Individual,Fully Paid,0.1308,36,3.722521031949883,11.35,Very Low,0
73,27893.08,36 months,9.47,893.05,B,B2,10,RENT,50427.37,medical,MO,11.9,0,49.17,14,16,2023-01-30,738,756,Individual,Charged Off,0.0947,36,1.8078810228199969,11.9,High,1
74,20153.61,36 months,6.3,615.84,A,A3,3,RENT,38783.73,house,IN,23.18,1,36.87,5,11,2023-04-04,757,765,Individual,Fully Paid,0.063,36,1.9244060989569611,23.18,High,0
75,18042.47,60 months,8.99,374.49,B,B2,0,MORTGAGE,208415.59,major_purchase,OH,17.93,1,15.47,0,7,2023-12-04,726,744,Individual,Fully Paid,0.08990000000000001,60,11.551389028220637,17.93,High,0
76,20424.45,36 months,6.66,627.52,B,B1,3,RENT,131718.53,small_business,VA,0.46,0,69.95,9,13,2022-10-13,727,744,Joint,Fully Paid,0.0666,36,6.449061296632222,0.46,High,0
77,32809.26,36 months,11.79,1086.51,D,D3,8,MORTGAGE,76138.58,small_business,IN,12.98,0,67.54,10,12,2021-08-04,676,685,Individual,Fully Paid,0.11789999999999999,36,2.3206430135882368,12.98,Low,0
78,26806.82,36 months,10.6,872.52,C,C5,6,RENT,97630.52,car,GA,11.41,0,55.22,6,13,2024-02-28,697,704,Individual,Fully Paid,0.106,36,3.642003042509332,11.41,Medium,0
79,28513.4,36 months,10.99,933.39,D,D4,6,RENT,85809.11,debt_consolidation,IN,14.98,1,41.13,10,14,2021-03-24,671,686,Individual,Charged Off,0.1099,36,3.009431004369875,14.98,Low,1
80,28075.9,60 months,11.78,621.36,D,D4,1,MORTGAGE,54242.58,major_purchase,TN,6.14,0,47.06,3,4,2023-01-21,678,695,Individual,Fully Paid,0.11779999999999999,60,1.9319979056771108,6.14,Low,0
81,15700.3,36 months,10.95,513.6,C,C2,4,MORTGAGE,147871.56,small_business,AZ,18.73,0,32.33,13,25,2022-07-31,700,714,Individual,Fully Paid,0.10949999999999999,36,9.418390731387298,18.73,Medium,0
82,25424.97,36 months,15.0,881.38,E,E4,0,RENT,106799.37,wedding,AZ,20.16,0,22.1,4,6,2021-03-12,646,663,Individual,Fully Paid,0.15,36,4.200570148165366,20.16,Low,0
83,29013.62,36 months,8.53,916.27,B,B1,3,RENT,102182.0,medical,IL,16.93,1,8.22,3,5,2024-02-07,732,750,Individual,Fully Paid,0.08529999999999999,36,3.521863180120233,16.93,High,0
84,12414.38,60 months,5.96,239.78,A,A1,8,RENT,36024.14,house,TN,14.61,0,50.4,4,4,2023-12-13,752,762,Individual,Fully Paid,0.0596,60,2.9018074201047495,14.61,High,0
85,13190.61,36 months,6.11,401.94,A,A5,7,RENT,36918.62,wedding,NC,12.53,0,45.33,7,14,2023-09-20,758,774,Individual,Fully Paid,0.0611,36,2.798856156007948,12.53,High,0
86,19024.49,60 months,10.88,412.53,D,D4,0,OWN,75428.43,credit_card,NJ,20.53,0,57.28,2,2,2023-01-19,662,682,Individual,Fully Paid,0.10880000000000001,60,3.964806940948219,20.53,Low,0
87,19650.37,36 months,11.88,651.54,C,C4,0,MORTGAGE,120743.36,car,TN,6.11,0,25.42,8,11,2022-04-11,693,699,Individual,Fully Paid,0.1188,36,6.144584554896422,6.11,Medium,0
88,22752.6,36 months,6.71,699.55,B,B5,0,RENT,39289.92,moving,OH,32.8,1,0.0,7,13,2022-05-14,735,744,Individual,Fully Paid,0.06709999999999999,36,1.7268320983096437,32.8,High,0
89,17123.79,36 months,11.3,563.01,C,C4,0,RENT,109382.39,debt_consolidation,NY,27.08,0,44.45,11,17,2023-12-16,700,705,Individual,Charged Off,0.113,36,6.387744185136585,27.08,Medium,1
90,25539.11,60 months,6.07,494.63,B,B1,7,RENT,51382.21,major_purchase,CA,0.0,2,60.29,8,16,2023-03-18,740,758,Individual,Fully Paid,0.060700000000000004,60,2.0119029206577674,0.0,High,0
91,40000.0,60 months,11.73,884.27,D,D3,7,RENT,72224.68,wedding,NJ,18.06,0,0.0,8,12,2021-08-15,667,684,Joint,Fully Paid,0.1173,60,1.8056169999999998,18.06,Low,0
92,20530.16,36 months,10.38,666.09,C,C1,3,OWN,58048.01,house,VA,20.61,0,4.56,2,10,2022-12-11,703,715,Individual,Fully Paid,0.1038,36,2.827450443639991,20.61,Medium,0
93,16646.4,36 months,9.27,531.44,C,C2,7,RENT,51252.04,credit_card,FL,20.24,0,25.79,14,19,2021-01-15,693,698,Individual,Fully Paid,0.09269999999999999,36,3.0788663014225297,20.24,Medium,0
94,20233.76,36 months,6.5,620.11,B,B4,0,OWN,62239.32,vacation,WA,14.95,0,17.49,1,4,2022-03-15,725,736,Individual,Fully Paid,0.065,36,3.0760135535856907,14.95,High,0
95,28514.8,36 months,11.17,935.9,D,D2,1,OWN,76258.07,medical,TX,23.37,1,71.88,7,12,2022-11-16,664,674,Individual,Fully Paid,0.1117,36,2.6743329779623215,23.37,Low,0
96,24597.35,60 months,9.75,519.59,C,C3,10,MORTGAGE,129020.33,house,WA,14.45,0,78.31,10,16,2021-03-29,710,715,Individual,Fully Paid,0.0975,60,5.245293903611568,14.45,Medium,0
97,25767.07,36 months,6.17,785.82,A,A5,4,MORTGAGE,55727.02,wedding,NC,11.98,0,49.02,9,15,2023-09-14,759,769,Individual,Fully Paid,0.0617,36,2.1627224205157978,11.98,High,0
98,19989.23,36 months,5.88,607.0,A,A4,2,RENT,62182.79,other,WI,14.37,1,56.07,9,19,2021-11-19,770,777,Individual,Fully Paid,0.0588,36,3.1108146737017885,14.37,Very High,0
99,29867.31,36 months,16.12,1051.87,F,F1,8,OWN,48620.01,other,OH,14.13,0,50.0,11,20,2024-02-17,607,613,Individual,Fully Paid,0.1612,36,1.6278670559886377,14.13,Very Low,0
100,40000.0,36 months,14.33,1373.57,E,E1,0,OWN,69691.07,small_business,IN,17.64,0,24.82,13,20,2021-12-06,642,648,Individual,Fully Paid,0.1433,36,1.7422767500000003,17.64,Low,0
101,22533.14,60 months,12.67,508.9,D,D2,0,MORTGAGE,36001.06,home_improvement,TN,19.96,0,68.91,10,13,2022-02-17,671,690,Joint,Charged Off,0.1267,60,1.5976938855392546,19.96,Low,1
102,22473.53,36 months,7.54,699.45,B,B1,2,RENT,20737.12,home_improvement,MD,0.0,0,65.34,9,12,2022-01-25,722,736,Individual,Fully Paid,0.0754,36,0.9227353246241244,0.0,High,0
103,30805.65,60 months,16.34,754.7,F,F2,4,RENT,26681.55,house,MI,21.91,0,60.51,8,16,2022-08-07,620,636,Individual,Fully Paid,0.1634,60,0.8661252075512121,21.91,Very Low,0
104,40000.0,36 months,10.82,1306.2,D,D4,8,RENT,43814.87,small_business,NJ,16.75,0,58.27,3,10,2023-06-20,660,677,Individual,Fully Paid,0.1082,36,1.09537175,16.75,Low,0
105,30852.21,36 months,10.39,1001.16,D,D1,5,RENT,56149.76,wedding,MA,23.58,0,18.07,13,20,2021-07-10,677,694,Joint,Fully Paid,0.1039,36,1.8199590888302655,23.58,Low,0
106,24322.44,36 months,9.53,779.5,C,C4,9,MORTGAGE,97056.79,major_purchase,NJ,19.47,1,47.09,3,10,2023-08-03,701,708,Individual,Fully Paid,0.0953,36,3.9904216024379133,19.47,Medium,0
107,20084.63,36 months,11.11,658.55,B,B1,7,OWN,33612.43,other,AZ,1.9,0,45.15,10,12,2021-03-24,734,750,Individual,Fully Paid,0.11109999999999999,36,1.673539915846097,1.9,High,0
108,30020.12,36 months,5.99,913.09,A,A1,10,MORTGAGE,65763.52,home_improvement,MI,19.57,0,51.2,4,12,2021-02-23,754,768,Individual,Fully Paid,0.0599,36,2.1906481386483465,19.57,High,0
109,25626.78,36 months,14.84,886.36,E,E2,6,MORTGAGE,114358.69,wedding,WI,14.12,0,38.75,8,15,2021-08-17,641,652,Individual,Fully Paid,0.1484,36,4.462468168064814,14.12,Low,0
110,34687.15,60 months,11.19,757.41,C,C3,7,MORTGAGE,47093.05,car,WI,2.92,0,22.71,6,10,2023-01-09,692,702,Individual,Fully Paid,0.1119,60,1.3576511763001573,2.92,Medium,0
111,21105.91,36 months,7.69,658.35,B,B5,1,MORTGAGE,121049.68,credit_card,PA,12.87,0,1.5,4,16,2024-03-09,722,738,Individual,Fully Paid,0.07690000000000001,36,5.735345218471982,12.87,High,0
112,19414.23,36 months,9.49,621.77,B,B5,0,MORTGAGE,105174.0,wedding,TX,8.64,0,56.28,7,13,2021-04-24,726,743,Individual,Fully Paid,0.0949,36,5.417366539903978,8.64,High,0
113,16461.06,36 months,10.5,534.99,C,C4,5,OWN,121136.2,other,IN,22.87,0,4.17,6,10,2021-02-19,710,724,Individual,Fully Paid,0.105,36,7.358955012617655,22.87,Medium,0
114,25621.96,36 months,9.09,815.86,B,B5,3,RENT,49077.5,other,FL,28.88,0,18.8,10,16,2021-10-21,731,740,Individual,Fully Paid,0.0909,36,1.9154467495851215,28.88,High,0
115,16645.75,36 months,14.2,570.5,E,E1,9,OWN,53223.75,debt_consolidation,FL,20.47,0,61.31,9,15,2022-02-05,647,659,Individual,Charged Off,0.142,36,3.1974377844194466,20.47,Low,1
116,34067.49,36 months,12.25,1135.64,D,D5,2,RENT,46209.2,medical,TN,23.35,1,52.51,12,20,2024-02-15,669,685,Individual,Fully Paid,0.1225,36,1.3564016603512616,23.35,Low,0
117,17386.58,36 months,13.43,589.39,D,D2,7,MORTGAGE,108079.0,car,MO,10.09,2,53.68,1,3,2022-06-30,676,694,Individual,Fully Paid,0.1343,36,6.21623113918896,10.09,Low,0
118,15022.54,36 months,9.51,481.3,C,C1,0,MORTGAGE,62297.39,car,NY,23.07,0,65.65,3,9,2022-04-07,693,698,Individual,Fully Paid,0.0951,36,4.146927883034427,23.07,Medium,0
119,24620.5,36 months,12.33,821.67,D,D1,3,MORTGAGE,57574.14,car,MO,14.01,0,87.45,5,6,2021-08-11,678,690,Individual,Fully Paid,0.1233,36,2.3384634755589855,14.01,Low,0
120,30079.12,60 months,10.1,640.52,C,C4,1,MORTGAGE,18327.51,debt_consolidation,WI,3.92,0,61.1,11,16,2024-01-19,701,710,Individual,Fully Paid,0.10099999999999999,60,0.6093100463045461,3.92,Medium,0
121,24178.21,36 months,12.14,804.68,D,D1,2,RENT,25807.98,medical,TN,16.71,0,45.255,5,9,2024-01-22,667,674,Individual,Fully Paid,0.12140000000000001,36,1.0674065615279211,16.71,Low,0
122,25947.73,60 months,6.7,510.15,A,A3,9,MORTGAGE,122853.43,debt_consolidation,IL,20.16,0,62.28,7,17,2023-08-05,759,766,Individual,Fully Paid,0.067,60,4.734650391382984,20.16,High,0
123,25661.01,36 months,10.34,832.1,C,C4,7,RENT,99420.06,home_improvement,OH,26.99,0,42.79,1,6,2023-07-07,690,701,Joint,Fully Paid,0.10339999999999999,36,3.8743627004548924,26.99,Medium,0
124,25432.14,60 months,5.94,490.99,A,A4,2,MORTGAGE,81283.62,small_business,WA,15.11,0,18.19,8,17,2023-10-28,757,766,Individual,Fully Paid,0.0594,60,3.1960983228308746,15.11,High,0
125,35134.73,60 months,11.7,776.21,C,C3,4,OWN,250617.52,credit_card,TX,9.32,0,91.03,10,14,2022-07-10,690,703,Individual,Fully Paid,0.11699999999999999,60,7.133042434081604,9.32,Medium,0
126,18895.09,36 months,8.4,595.63,B,B4,8,MORTGAGE,59418.9,small_business,TN,20.82,1,62.72,17,21,2022-05-01,724,729,Individual,Fully Paid,0.084,36,3.144674092581724,20.82,High,0
127,22285.21,36 months,5.38,671.71,A,A4,1,OWN,106232.85,house,TN,17.26,0,13.36,9,9,2021-01-02,757,764,Individual,Fully Paid,0.0538,36,4.7669665217424475,17.26,High,0
128,13160.56,36 months,6.03,400.53,A,A5,3,RENT,98779.21,other,TN,13.16,0,59.48,14,24,2024-02-11,764,773,Individual,Charged Off,0.0603,36,7.505699605487913,13.16,Very High,1
129,33359.77,36 months,10.02,1076.79,C,C4,0,RENT,105051.91,vacation,VA,19.65,0,58.41,6,10,2023-04-05,691,696,Individual,Charged Off,0.1002,36,3.149059780687937,19.65,Medium,1
